store_id,sku_id,avg_daily_demand,total_forecast_demand,max_daily_demand,stock_on_hand,reorder_point,safety_stock,last_restock_date,on_order_units,lead_time_days,sku_name,category,subcategory,unit_price,cost_price,brand,lead_time_demand,inventory_position,target_lead_time_stock,stockout_shortage_units,days_of_supply,stockout_risk,recommended_reorder_units,stockout_gap_pct,overstock_target_units,excess_inventory_units,overstock_risk,overstock_gap_pct,risk_score,risk_level,risk_priority,stockout_value_at_stake,overstock_value_at_stake,value_at_stake,recommended_action
ST01,SKU00022,1.8536262,3.7072524,1.8550253,0.0,0.0,0.0,,0.0,7.0,PrimeCare Bottled Water 250ml,Beverages,Bottled Water,201.01,147.24,PrimeCare,12.975383399999998,0.0,12.975383399999998,12.975383399999998,0.0,True,13.0,1.0,55.608785999999995,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,2608.1818172339995,0.0,2608.1818172339995,URGENT REORDER
ST01,SKU00060,1.8584003,1.8584003,1.8584003,0.0,0.0,0.0,,0.0,7.0,BasicNeeds Men's Wear Large,Apparel & Footwear,Men's Wear,724.16,476.15,BasicNeeds,13.0088021,0.0,13.0088021,13.0088021,0.0,True,14.0,1.0,55.752009,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,9420.454128736,0.0,9420.454128736,URGENT REORDER
ST01,SKU00069,1.8270593,1.8270593,1.8270593,29.0,42.0,20.0,2025-12-08,0.0,7.0,PureLife Laundry Small,Home Care,Laundry,258.89,174.28,PureLife,12.7894151,29.0,32.7894151,3.7894150999999994,15.872500690043285,True,4.0,0.11556824324078899,74.811779,0.0,False,0.0,11.6,STOCKOUT,LOW,981.0416752389998,0.0,981.0416752389998,REORDER
ST01,SKU00075,1.8769375,1.8769375,1.8769375,261.0,95.0,24.0,2025-11-21,0.0,7.0,TrueTaste Batteries 250g,Electronics & Accessories,Batteries,3697.58,2393.21,TrueTaste,13.138562499999999,261.0,37.1385625,0.0,139.05630848123607,False,0.0,0.0,80.30812499999999,180.691875,True,2.2499824893184845,100.0,OVERSTOCK,CRITICAL,0.0,432433.60216875,432433.60216875,URGENT MARKDOWN
ST01,SKU00110,1.8556503,1.8556503,1.8556503,0.0,0.0,0.0,,0.0,7.0,CityFresh Vitamins & Supplements Medium,Health & Wellness,Vitamins & Supplements,286.87,202.12,CityFresh,12.9895521,0.0,12.9895521,12.9895521,0.0,True,13.0,1.0,55.669509,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,3726.3128109269996,0.0,3726.3128109269996,URGENT REORDER
ST01,SKU00116,1.8203986,1.8203986,1.8203986,0.0,0.0,0.0,,0.0,7.0,CrispKing Ready Meals Large,Frozen Foods,Ready Meals,317.12,220.62,CrispKing,12.7427902,0.0,12.7427902,12.7427902,0.0,True,13.0,1.0,54.611958,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,4040.993628224,0.0,4040.993628224,URGENT REORDER
ST01,SKU00125,1.8545164500000002,3.7090329000000004,1.8750283,0.0,0.0,0.0,,0.0,7.0,GoldenHarvest Air Fresheners Small,Home Care,Air Fresheners,477.75,338.32,GoldenHarvest,12.981615150000001,0.0,12.981615150000001,12.981615150000001,0.0,True,13.0,1.0,55.63549350000001,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,6201.966637912501,0.0,6201.966637912501,URGENT REORDER
ST01,SKU00128,1.7943244,1.7943244,1.7943244,0.0,0.0,0.0,,0.0,7.0,CrispKing Footwear 2L,Apparel & Footwear,Footwear,741.97,459.21,CrispKing,12.5602708,0.0,12.5602708,12.5602708,0.0,True,13.0,1.0,53.829732,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,9319.344125476,0.0,9319.344125476,URGENT REORDER
ST01,SKU00145,1.9473292,1.9473292,1.9473292,0.0,0.0,0.0,,0.0,7.0,HealthFirst Ready Meals 250ml,Frozen Foods,Ready Meals,478.26,304.7,HealthFirst,13.6313044,0.0,13.6313044,13.6313044,0.0,True,14.0,1.0,58.419876,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,6519.307642344,0.0,6519.307642344,URGENT REORDER
ST01,SKU00165,1.8044857,1.8044857,1.8044857,0.0,0.0,0.0,,0.0,7.0,MetroBrand Chocolates Family Pack,Snacks & Confectionery,Chocolates,85.81,49.54,MetroBrand,12.6313999,0.0,12.6313999,12.6313999,0.0,True,13.0,1.0,54.134571,0.0,False,0.0,100.0,STOCKOUT,CRITICAL,1083.900425419,0.0,1083.900425419,URGENT REORDER
